DIABETES,BINGE,CURRENT SMOKE,SEX,RACE,BORN WHERE?,AGE,N, WEIGHTED N ,WEIGHTED %
DM=NO,binge=YES,SMKCUR=YES,SRSEX=MALE,racen=WHITE,BORN IN THE US,50-54 YEARS,78," 47,518 ",0.168
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,"racen=ASIAN,PHIL",5+ YEARS,50-54 YEARS,17," 46,986 ",0.166
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,65-69 YEARS,197," 46,437 ",0.165
DM=YES,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,80-84 YEARS,138," 46,356 ",0.164
DM=YES,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,70-74 YEARS,223," 45,878 ",0.163
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=BLACK,BORN IN THE US,55-59 YEARS,63," 45,006 ",0.159
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,35-39 YEARS,34," 44,984 ",0.159
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=ASIANONLY,5+ YEARS,50-54 YEARS,39," 44,922 ",0.159
DM=YES,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,70-74 YEARS,160," 44,376 ",0.157
DM=YES,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,75-79 YEARS,130," 43,946 ",0.156
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,"racen=ASIAN,PHIL",BORN IN THE US,18-25 YEARS,9," 43,034 ",0.152
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=ASIANONLY,5+ YEARS,35-39 YEARS,21," 43,020 ",0.152
DM=NO,binge=YES,SMKCUR=YES,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,60-64 YEARS,118," 42,827 ",0.152
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,"racen=ASIAN,CHINA",5+ YEARS,45-49 YEARS,50," 42,640 ",0.151
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,50-54 YEARS,40," 42,627 ",0.151
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,5+ YEARS,40-44 YEARS,47," 42,034 ",0.149
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=BLACK,BORN IN THE US,35-39 YEARS,25," 41,810 ",0.148
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,55-59 YEARS,64," 41,754 ",0.148
DM=YES,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,65-69 YEARS,35," 41,645 ",0.148
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,60-64 YEARS,69," 41,566 ",0.147
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=BLACK,BORN IN THE US,26-29 YEARS,13," 41,363 ",0.147
DM=YES,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,75-79 YEARS,156," 41,344 ",0.146
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=BLACK,BORN IN THE US,45-49 YEARS,28," 41,281 ",0.146
DM=NO,binge=YES,SMKCUR=YES,SRSEX=MALE,racen=WHITE,BORN IN THE US,55-59 YEARS,71," 41,011 ",0.145
DM=YES,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,45-49 YEARS,15," 40,924 ",0.145
DM=YES,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,60-64 YEARS,109," 40,901 ",0.145
DM=NO,binge=NO,SMKCUR=YES,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,50-54 YEARS,54," 40,683 ",0.144
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=BLACK,BORN IN THE US,30-34 YEARS,15," 40,472 ",0.143
DM=NO,binge=YES,SMKCUR=YES,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,55-59 YEARS,117," 40,465 ",0.143
DM=YES,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,50-54 YEARS,31," 40,229 ",0.143
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=WHITE,BORN IN THE US,26-29 YEARS,24," 40,080 ",0.142
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=WHITE,BORN IN THE US,50-54 YEARS,58," 39,879 ",0.141
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=OTHER,BORN IN THE US,18-25 YEARS,19," 39,308 ",0.139
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,"racen=ASIAN,PHIL",5+ YEARS,75-79 YEARS,18," 39,123 ",0.139
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,"racen=ASIAN,VIET",5+ YEARS,55-59 YEARS,25," 38,637 ",0.137
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,26-29 YEARS,16," 38,388 ",0.136
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,70-74 YEARS,97," 38,276 ",0.136
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=OTHER,BORN IN THE US,18-25 YEARS,24," 38,251 ",0.136
DM=YES,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,55-59 YEARS,53," 38,027 ",0.135
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,"racen=ASIAN,CHINA",5+ YEARS,60-64 YEARS,55," 37,724 ",0.134
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,70-74 YEARS,140," 37,578 ",0.133
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,"racen=ASIAN,CHINA",5+ YEARS,50-54 YEARS,36," 37,574 ",0.133
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=BLACK,BORN IN THE US,30-34 YEARS,16," 37,543 ",0.133
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=ASIANONLY,5+ YEARS,45-49 YEARS,47," 37,522 ",0.133
DM=YES,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,60-64 YEARS,45," 37,194 ",0.132
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,65-69 YEARS,46," 36,931 ",0.131
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,5+ YEARS,50-54 YEARS,71," 36,645 ",0.130
DM=NO,binge=YES,SMKCUR=YES,SRSEX=MALE,racen=WHITE,BORN IN THE US,40-44 YEARS,36," 36,142 ",0.128
DM=YES,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,65-69 YEARS,191," 36,066 ",0.128
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,45-49 YEARS,28," 36,029 ",0.128
DM=YES,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,55-59 YEARS,21," 36,006 ",0.128
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,5+ YEARS,75-79 YEARS,36," 35,928 ",0.127
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=BLACK,BORN IN THE US,18-25 YEARS,15," 35,856 ",0.127
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,"racen=ASIAN,CHINA",BORN IN THE US,18-25 YEARS,17," 35,810 ",0.127
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,75-79 YEARS,73," 35,687 ",0.126
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=BLACK,BORN IN THE US,40-44 YEARS,19," 35,431 ",0.126
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=OTHER,BORN IN THE US,18-25 YEARS,23," 35,117 ",0.124
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=ASIANONLY,5+ YEARS,30-34 YEARS,19," 35,074 ",0.124
DM=NO,binge=YES,SMKCUR=YES,SRSEX=MALE,racen=WHITE,BORN IN THE US,30-34 YEARS,16," 34,726 ",0.123
DM=NO,binge=NO,SMKCUR=YES,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,45-49 YEARS,44," 34,662 ",0.123
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=HISPANIC,5+ YEARS,40-44 YEARS,17," 34,004 ",0.120
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=HISPANIC,5+ YEARS,35-39 YEARS,11," 33,854 ",0.120
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,45-49 YEARS,43," 33,668 ",0.119
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=HISPANIC,5+ YEARS,45-49 YEARS,18," 33,640 ",0.119
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,5+ YEARS,55-59 YEARS,65," 33,552 ",0.119
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=WHITE,BORN IN THE US,45-49 YEARS,39," 33,269 ",0.118
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,40-44 YEARS,35," 33,210 ",0.118
DM=NO,binge=NO,SMKCUR=YES,SRSEX=MALE,racen=WHITE,BORN IN THE US,40-44 YEARS,32," 33,168 ",0.118
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=BLACK,BORN IN THE US,18-25 YEARS,15," 33,161 ",0.117
DM=NO,binge=YES,SMKCUR=YES,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,65-69 YEARS,129," 33,132 ",0.117
DM=NO,binge=YES,SMKCUR=YES,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,40-44 YEARS,35," 32,920 ",0.117
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=ASIANONLY,BORN IN THE US,18-25 YEARS,10," 32,867 ",0.116
